"Vendor","PEN","AuditedCapabilityFamilies","CurrentCompatibilityPercent","CurrentStatus","ImplementationWave","ParentFeatureIDs","RequiredProductionEvidence","Source"
"3com","43","802.1X/enterprise Wi-Fi; Accounting/session; Captive portal/hotspot/guest; Security/VPN/posture; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","E8 - Enterprise switching","NAS-0071;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"3GPP","10415","Mobile/core/charging","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"3GPP2","5535","Mobile/core/charging; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Acc","5","Accounting/session; Authentication; Authorization/policy; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T3 - Voice/VPN workflows","NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Acme","9148","Accounting/session; Authorization/policy; Bandwidth/QoS; Dynamic authorization; IP addressing/routing; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0","Missing: no end-to-end vendor feature proven","T1 - Mobile/cable/voice","NAS-0092..NAS-0098;NAS-0126","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Actelis","5468","Authorization/policy","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"ADSL-Forum","3561","Accounting/session; Bandwidth/QoS; ISP/broadband/subscriber; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","B4 - Broadband long tail","NAS-0082..NAS-0091;NAS-0125","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Adtran","664","802.1X/enterprise Wi-Fi; Authorization/policy","0","Missing: no end-to-end vendor feature proven","E9 - Enterprise access/security long tail","NAS-0072;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Adva","2544","Authentication; Vendor-specific/other","0","Missing: no end-to-end vendor feature proven","L1 - Typed long-tail namespace","NAS-0072;NAS-0121;NAS-0131","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
"Aerohive","26928","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Captive portal/hotspot/guest; Security/VPN/posture; Vendor-specific/other; Voice/telephony","14.29","Partial: 6 VSA mapping(s): access.policy_tag; access.role; access.vlan; guest.portal_profile; posture.device_state","E2 - Aruba/HPE access","NAS-0062;NAS-0124","Authoritative semantics; typed codec; policy; persistence; API/UI; metrics; golden packets; exact model/firmware test; upgrade and rollback evidence","FreeRADIUS 3.2.8 audit matrix"
