"Vendor","PEN","VendorFeatures","Implemented","PartiallyImplemented","Missing","CompatibilityPercent","Recommendation"
"3com","43","802.1X/enterprise Wi-Fi; Accounting/session; Captive portal/hotspot/guest; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","12 of 12 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 12 attributes and certify representative hardware/software."
"3GPP","10415","Mobile/core/charging","0 end-to-end vendor features proven","None","28 of 28 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 28 attributes and certify representative hardware/software."
"3GPP2","5535","Mobile/core/charging; Vendor-specific/other","0 end-to-end vendor features proven","None","186 of 186 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 186 attributes and certify representative hardware/software."
"Acc","5","Accounting/session; Authentication; Authorization/policy; IP addressing/routing; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","50 of 50 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 50 attributes and certify representative hardware/software."
"Acme","9148","Accounting/session; Authorization/policy; Bandwidth/QoS; Dynamic authorization; IP addressing/routing; Mobile/core/charging; NAS/device management; Tenant/location; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","None","196 of 196 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 196 attributes and certify representative hardware/software."
"Actelis","5468","Authorization/policy","0 end-to-end vendor features proven","None","1 of 1 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 1 attributes and certify representative hardware/software."
"ADSL-Forum","3561","Accounting/session; Bandwidth/QoS; ISP/broadband/subscriber; Vendor-specific/other","0 end-to-end vendor features proven","None","23 of 23 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 23 attributes and certify representative hardware/software."
"Adtran","664","802.1X/enterprise Wi-Fi; Authorization/policy","0 end-to-end vendor features proven","None","5 of 5 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 5 attributes and certify representative hardware/software."
"Adva","2544","Authentication; Vendor-specific/other","0 end-to-end vendor features proven","None","3 of 3 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 3 attributes and certify representative hardware/software."
"Aerohive","26928","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Captive portal/hotspot/guest; Security/VPN/posture; Vendor-specific/other; Voice/telephony","0 end-to-end vendor features proven","6 VSA mapping(s): access.policy_tag; access.role; access.vlan; guest.portal_profile; posture.device_state","15 of 21 attributes plus their device workflows","14.29","Promote 6 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 15 attributes by feature family."
"Airespace","14179","ACL/firewall policy; Authorization/policy; Bandwidth/QoS; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","5 VSA mapping(s): access.role; device.group; enforcement.acl; qos.download_bandwidth; qos.upload_bandwidth","10 of 15 attributes plus their device workflows","16.67","Promote 5 mapped VSA(s) from packet mapping to certified end-to-end behavior, then implement the remaining 10 attributes by feature family."
"Alcatel","3041","Accounting/session; Authentication; Bandwidth/QoS; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Vendor-specific/other","0 end-to-end vendor features proven","None","41 of 41 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 41 attributes and certify representative hardware/software."
"Alcatel-ESAM","637","Bandwidth/QoS; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","33 of 33 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 33 attributes and certify representative hardware/software."
"Alcatel-Lucent-Service-Router","6527","802.1X/enterprise Wi-Fi; Accounting/session; Authentication; Authorization/policy; Bandwidth/QoS; Captive portal/hotspot/guest; IP addressing/routing; ISP/broadband/subscriber; Mobile/core/charging; NAS/device management; Security/VPN/posture; Vendor-specific/other","0 end-to-end vendor features proven","None","181 of 181 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 181 attributes and certify representative hardware/software."
"Alphion","8742","802.1X/enterprise Wi-Fi; ACL/firewall policy; Authentication; Authorization/policy; Captive portal/hotspot/guest; Dynamic authorization; IP addressing/routing; ISP/broadband/subscriber; NAS/device management; Tenant/location; Vendor-specific/other","0 end-to-end vendor features proven","None","44 of 44 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 44 attributes and certify representative hardware/software."
"Alteon","1872","Mobile/core/charging","0 end-to-end vendor features proven","None","11 of 11 attributes plus their device workflows","0","Create a typed vendor pack from authoritative documentation; implement all 11 attributes and certify representative hardware/software."
