Vendor,PEN,Attribute,Number,OID,Type,EnumeratedValues,CapabilityFamily,Status,Pack,Semantic,Direction,Functionality
3com,43,3Com-User-Access-Level,1,,integer,4,Vendor-specific/other,missing,,,,"Vendor-defined state carried by 3Com-User-Access-Level; the dictionary supplies wire metadata, not a complete behavioral specification."
3com,43,3Com-VLAN-Name,2,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by 3Com-VLAN-Name; the dictionary supplies wire metadata, not a complete behavioral specification."
3com,43,3Com-Mobility-Profile,3,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by 3Com-Mobility-Profile; the dictionary supplies wire metadata, not a complete behavioral specification."
3com,43,3Com-Encryption-Type,4,,string,,Security/VPN/posture,missing,,,,"Vendor security, VPN, certificate, crypto, or endpoint posture state carried by 3Com-Encryption-Type."
3com,43,3Com-Time-Of-Day,5,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by 3Com-Time-Of-Day; the dictionary supplies wire metadata, not a complete behavioral specification."
3com,43,3Com-SSID,6,,string,,802.1X/enterprise Wi-Fi,missing,,,,"Vendor WLAN, AP, radio, SSID, or 802.1X context carried by 3Com-SSID."
3com,43,3Com-End-Date,7,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by 3Com-End-Date; the dictionary supplies wire metadata, not a complete behavioral specification."
3com,43,3Com-URL,8,,string,,Captive portal/hotspot/guest,missing,,,,"Vendor redirect, portal, hotspot, walled-garden, or guest lifecycle state carried by 3Com-URL."
3com,43,3Com-Connect_Id,26,,integer,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by 3Com-Connect_Id; the dictionary supplies wire metadata, not a complete behavioral specification."
3com,43,3Com-NAS-Startup-Timestamp,59,,integer,,Accounting/session,missing,,,,"Vendor session lifecycle, usage, counter, or termination telemetry carried by 3Com-NAS-Startup-Timestamp."
3com,43,3Com-Ip-Host-Addr,60,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by 3Com-Ip-Host-Addr; the dictionary supplies wire metadata, not a complete behavioral specification."
3com,43,3Com-Product-ID,255,,string,,Vendor-specific/other,missing,,,,"Vendor-defined state carried by 3Com-Product-ID; the dictionary supplies wire metadata, not a complete behavioral specification."
3GPP,10415,3GPP-IMSI,1,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-IMSI."
3GPP,10415,3GPP-Charging-ID,2,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Charging-ID."
3GPP,10415,3GPP-PDP-Type,3,,integer,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-PDP-Type."
3GPP,10415,3GPP-Charging-Gateway-Address,4,,ipaddr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Charging-Gateway-Address."
3GPP,10415,3GPP-GPRS-Negotiated-QoS-profile,5,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-GPRS-Negotiated-QoS-profile."
3GPP,10415,3GPP-SGSN-Address,6,,ipaddr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-SGSN-Address."
3GPP,10415,3GPP-GGSN-Address,7,,ipaddr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-GGSN-Address."
3GPP,10415,3GPP-IMSI-MCC-MNC,8,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-IMSI-MCC-MNC."
3GPP,10415,3GPP-GGSN-MCC-MNC,9,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-GGSN-MCC-MNC."
3GPP,10415,3GPP-NSAPI,10,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-NSAPI."
3GPP,10415,3GPP-Session-Stop-Indicator,11,,byte,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Session-Stop-Indicator."
3GPP,10415,3GPP-Selection-Mode,12,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Selection-Mode."
3GPP,10415,3GPP-Charging-Characteristics,13,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Charging-Characteristics."
3GPP,10415,3GPP-Charging-Gateway-IPv6-Address,14,,ipv6addr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Charging-Gateway-IPv6-Address."
3GPP,10415,3GPP-SGSN-IPv6-Address,15,,ipv6addr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-SGSN-IPv6-Address."
3GPP,10415,3GPP-GGSN-IPv6-Address,16,,ipv6addr,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-GGSN-IPv6-Address."
3GPP,10415,3GPP-IPv6-DNS-Servers,17,,octets,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-IPv6-DNS-Servers."
3GPP,10415,3GPP-SGSN-MCC-MNC,18,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-SGSN-MCC-MNC."
3GPP,10415,3GPP-Teardown-Indicator,19,,byte,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Teardown-Indicator."
3GPP,10415,3GPP-IMEISV,20,,string,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-IMEISV."
3GPP,10415,3GPP-RAT-Type,21,,byte,11,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-RAT-Type."
3GPP,10415,3GPP-Location-Info,22,,octets,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Location-Info."
3GPP,10415,3GPP-User-Location-Info,22,,octets,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-User-Location-Info."
3GPP,10415,3GPP-MS-Time-Zone,23,,octets[2],,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-MS-Time-Zone."
3GPP,10415,3GPP-Camel-Charging-Info,24,,octets,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Camel-Charging-Info."
3GPP,10415,3GPP-Packet-Filter,25,,octets,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Packet-Filter."
3GPP,10415,3GPP-Negotiated-DSCP,26,,byte,,Mobile/core/charging,missing,,,,"Vendor mobile-core, APN/PDP, roaming, or charging state carried by 3GPP-Negotiated-DSCP."
