"Sequence","FeatureID","FeatureName","CapabilityPhase","Priority","Dependencies","EstimatedComplexity"
"1","NAS-0001","Production IANA PEN and lab migration","Phase 0 - Core Architecture","Critical","None","M"
"2","NAS-0002","Generated typed attribute registry","Phase 0 - Core Architecture","Critical","NAS-0001","XL"
"3","NAS-0007","Enterprise secret and key provider interface","Phase 0 - Core Architecture","Critical","NAS-0001","L"
"4","NAS-0116","SBOM, signing, provenance, and vulnerability gates","Phase 13 - Security","Critical","NAS-0001","L"
"5","NAS-0003","Dictionary release, alias, and firmware profiles","Phase 0 - Core Architecture","Critical","NAS-0001;NAS-0002","L"
"6","NAS-0008","Production PostgreSQL data plane","Phase 0 - Core Architecture","Critical","NAS-0002","XL"
"7","NAS-0009","RADIUS packet-server hardening","Phase 1 - AAA Core","Critical","NAS-0002;NAS-0007","L"
"8","NAS-0004","Evidence-state compatibility model","Phase 0 - Core Architecture","Critical","NAS-0002;NAS-0003","M"
"9","NAS-0005","Extended, grouped, tagged, and repeated VSA codec","Phase 0 - Core Architecture","Critical","NAS-0002;NAS-0003","XL"
"10","NAS-0010","Multi-realm proxy routing table","Phase 1 - AAA Core","Critical","NAS-0009","L"
"11","NAS-0018","Active Directory Kerberos and winbind","Phase 2 - Authentication","Critical","NAS-0007;NAS-0008;NAS-0009","XL"
"12","NAS-0022","Extensible EAP method framework","Phase 2 - Authentication","Critical","NAS-0002;NAS-0009","XL"
"13","NAS-0029","Typed policy expression engine","Phase 3 - Authorization","Critical","NAS-0002;NAS-0008","XL"
"14","NAS-0035","FreeRADIUS SQL accounting schema reconciliation","Phase 4 - Accounting","Critical","NAS-0008;NAS-0009","L"
"15","NAS-0082","PPPoE access concentrator","Phase 9 - ISP / BNG Features","Critical","NAS-0008;NAS-0009","XL"
"16","NAS-0099","Replicated production database and consensus","Phase 11 - High Availability","Critical","NAS-0008","XL"
"17","NAS-0112","Vault, HSM, TPM, and envelope encryption","Phase 13 - Security","Critical","NAS-0007;NAS-0008","XL"
"18","NAS-0013","Dynamic NAS clients and capability discovery","Phase 1 - AAA Core","High","NAS-0002;NAS-0007;NAS-0009","L"
"19","NAS-0014","RadSec TLS-PSK and credential rotation","Phase 1 - AAA Core","High","NAS-0007;NAS-0009","L"
"20","NAS-0106","OpenTelemetry distributed tracing","Phase 12 - Monitoring and Reporting","High","NAS-0002;NAS-0008","L"
"21","NAS-0073","Out-of-corpus vendor intake","Phase 7 - Vendor Compatibility","Medium","NAS-0001;NAS-0003","L"
"22","NAS-0011","Proxy loop prevention and attribute policy","Phase 1 - AAA Core","Critical","NAS-0002;NAS-0010","L"
"23","NAS-0012","Durable proxy accounting spool","Phase 1 - AAA Core","Critical","NAS-0008;NAS-0010","L"
"24","NAS-0015","Transport downgrade and routing policy","Phase 1 - AAA Core","Critical","NAS-0010;NAS-0014","M"
"25","NAS-0017","MAC Authentication Bypass workflow","Phase 2 - Authentication","Critical","NAS-0009;NAS-0013","L"
"26","NAS-0027","Enterprise certificate lifecycle and enrollment protocols","Phase 2 - Authentication","Critical","NAS-0007;NAS-0022","XL"
"27","NAS-0030","Nested policy sets and versioned approvals","Phase 3 - Authorization","Critical","NAS-0029","L"
"28","NAS-0036","Accounting idempotency, duplicate, and ordering engine","Phase 4 - Accounting","Critical","NAS-0035","L"
"29","NAS-0042","General outbound DAC client","Phase 5 - CoA / Disconnect","Critical","NAS-0009;NAS-0013","L"
"30","NAS-0048","Lossless vendor-neutral ACL AST","Phase 6 - Policy Engine and Enforcement","Critical","NAS-0002;NAS-0029","XL"
"31","NAS-0053","Dynamic VLAN bridge and subinterface lifecycle","Phase 6 - Policy Engine and Enforcement","Critical","NAS-0013;NAS-0029","XL"
"32","NAS-0092","Grouped telecom attribute and AVP framework","Phase 10 - Mobile / Telecom Features","Critical","NAS-0005;NAS-0008","XL"
"33","NAS-0121","Golden packet vectors for every classified attribute","Phase 14 - Certification","Critical","NAS-0002;NAS-0003;NAS-0004;NAS-0005","XL"
"34","NAS-0122","Malformed packet, property, and fuzz corpus","Phase 14 - Certification","Critical","NAS-0005;NAS-0009","XL"
"35","NAS-0006","Bounded opaque attribute pass-through","Phase 0 - Core Architecture","High","NAS-0002;NAS-0005","L"
"36","NAS-0016","Upstream outage and local fallback policy","Phase 1 - AAA Core","High","NAS-0010","M"
"37","NAS-0019","Identity-source HA and deterministic failover","Phase 2 - Authentication","High","NAS-0008;NAS-0018","L"
"38","NAS-0020","OTP and RADIUS challenge MFA","Phase 2 - Authentication","High","NAS-0009;NAS-0018","L"
"39","NAS-0025","EAP-SIM, AKA, and AKA-prime","Phase 2 - Authentication","High","NAS-0005;NAS-0022","XL"
"40","NAS-0032","Per-service authorization and subscriber chains","Phase 3 - Authorization","High","NAS-0029","XL"
"41","NAS-0033","Command authorization and TACACS+","Phase 3 - Authorization","High","NAS-0007;NAS-0029","XL"
