"FeatureID","FeatureName","Phase","Category","Vendors","FreeRADIUSDictionary","RFCsAndStandards","Priority","Dependencies","EstimatedComplexity","CurrentImplementationStatus","MissingFunctionality","RequiredBackendWork","RequiredPacketProcessingWork","RequiredPolicyEngineWork","RequiredDatabaseWork","RequiredAPIWork","RequiredUIWork","RequiredTesting","RequiredDocumentation","AcceptanceCriteria","ProductionReadinessCriteria"
"NAS-0001","Production IANA PEN and lab migration","Phase 0 - Core Architecture","Architecture","AegisNAS; all peers","dictionary.aegisnas","RFC 2865","Critical","None","M","Complete","No software implementation remains; IANA assignment and deployment evidence are tracked in the NAS-0001 release certification checklist.","Create versioned core services, generated contracts, migration tooling, validation, and failure-safe rollout.","Update shared codec/registry paths where wire behavior applies; preserve unknown evidence and reject malformed input.","Define ownership, trust, precedence, enablement, and not-applicable governance.","Add normalized schemas, provenance/version fields, indexes, retention, and HA migration rules.","Expose versioned OpenAPI discovery, preview, lifecycle state, evidence, pagination, and stable errors.","Add lifecycle/evidence views, dependency warnings, migration preview, and operator controls.","Unit, migration, golden-registry, property, compatibility, downgrade, and rollback tests.","Architecture decision record, migration guide, schema/registry contract, and operator runbook.","All software behavior for Production IANA PEN and lab migration passes automated tests and exposes lifecycle state and evidence; external validation is tracked separately.","Engineering readiness requires a fail-closed identity lifecycle, secure confirmation, reversible migration, complete documentation, automated tests, and zero unresolved Critical software defects."
"NAS-0002","Generated typed attribute registry","Phase 0 - Core Architecture","Architecture","All 195 namespaces","All 246 dictionary files","RFC 2865","Critical","NAS-0001","XL","Complete","No software implementation remains; environment-dependent evidence is tracked in the NAS-0002 release certification checklist.","Create versioned core services, generated contracts, migration tooling, validation, and failure-safe rollout.","Update shared codec/registry paths where wire behavior applies; preserve unknown evidence and reject malformed input.","Define ownership, trust, precedence, enablement, and not-applicable governance.","Add normalized schemas, provenance/version fields, indexes, retention, and HA migration rules.","Expose versioned OpenAPI discovery, preview, lifecycle state, evidence, pagination, and stable errors.","Add lifecycle/evidence views, dependency warnings, migration preview, and operator controls.","Unit, migration, golden-registry, property, compatibility, downgrade, and rollback tests.","Architecture decision record, migration guide, schema/registry contract, and operator runbook.","All software behavior for Generated typed attribute registry passes automated unit, integration, negative, packet, API, UI, generation, upgrade-contract, and regression tests; external validation is tracked separately.","Engineering readiness requires a deterministic source hash, fail-closed validation, bounded APIs, HA-safe immutable state, complete documentation, automated tests, and zero unresolved Critical software defects."
"NAS-0003","Dictionary release, alias, and firmware profiles","Phase 0 - Core Architecture","Architecture","All vendors","All vendor dictionaries","RFC 2865;RFC 2866;RFC 5176;RFC 6614;RFC 9813","Critical","NAS-0001;NAS-0002","L","Complete","No software implementation remains; firmware and deployment evidence are tracked in the NAS-0003 release certification checklist.","Implemented immutable release profiles, alias normalization, firmware scopes, source hash binding, config validation, readiness checks, OpenAPI, and UI visibility.","Registry entries carry release_profile_id and semantic_provenance; registry cursors are release/hash/filter bound.","Profile owns canonical aliases, firmware scope, support state, and external evidence state until NAS-0004 separates evidence lifecycle.","No migration required because the profile is immutable build-time state; HA safety is enforced by matching release profile ID and source hash.","Added dictionary release profile API, release-bound attribute registry query, OpenAPI discovery, and stable errors.","Added Vendor Compatibility release profile panel with alias and firmware scope evidence.","Unit, API, config, readiness, OpenAPI, UI, browser, and CI target coverage added.","Added dictionary release profile architecture/operator guide and release certification checklist.","All software behavior for Dictionary release, alias, and firmware profiles passes automated tests and exposes effective state; external validation is tracked separately.","Engineering readiness requires deterministic release identity, canonical alias normalization, firmware scopes, source hash binding, HA-safe immutable state, complete documentation, automated tests, and zero unresolved Critical software defects."
"NAS-0004","Evidence-state compatibility model","Phase 0 - Core Architecture","Architecture","All vendors","All vendor dictionaries","No direct RFC; internal architecture and applicable product/security standards","Critical","NAS-0002;NAS-0003","M","Complete","No software implementation remains; vendor hardware and release publication evidence are tracked in the NAS-0004 release certification checklist.","Implemented a schema-versioned evidence ledger, derived evidence records, validation, active-pack readiness handling, and claim-state separation.","Evidence dimensions distinguish dictionary metadata, typed registry, packet decode, reply render, policy wiring, and external certification requirements.","The policy model now separates software_ready, planned, blocked, metadata_only, external_required, and certified claim states without silently promoting certification.","No migration required because software evidence is derived from immutable registry/profile/pack state; signed mutable certification evidence belongs to later release work.","Added /api/v1/system/compatibility-evidence with filters, pagination, stable cursor errors, and OpenAPI discovery.","Added a Vendor Compatibility evidence panel with claim filtering, summary cards, dimensions, blockers, and external-required visibility.","Unit, API, readiness, OpenAPI, RBAC, UI, browser, and CI target coverage added.","Added compatibility evidence architecture/operator guide and release certification checklist.","All software behavior for Evidence-state compatibility model passes automated tests and exposes effective state; external validation is tracked separately.","Engineering readiness requires deterministic derived evidence, no false certified claims, active-pack blocker visibility, HA-safe source hash binding, complete documentation, automated tests, and zero unresolved Critical software defects."
"NAS-0005","Extended, grouped, tagged, and repeated VSA codec","Phase 0 - Core Architecture","Architecture","All vendors; 3GPP; WiMAX; Starent","3GPP; 3GPP2; WiMAX; Starent; all extended dictionaries","RFC 2865","Critical","NAS-0002;NAS-0003","XL","Complete","No software implementation remains; FreeRADIUS transport, vendor hardware, HA, performance, soak, security, and customer evidence are tracked in the NAS-0005 release certification checklist.","Implemented a schema-versioned VSA codec capability report and registry wire-codec metadata for numeric, OID-backed, grouped, repeated, tagged, and extended attributes.","Implemented bounded VSA encode/decode for repeated values, packed subattributes, FreeRADIUS vendor formats, tags, grouped OID/TLV children, and malformed length rejection; existing broker lookup/add helpers now use the shared codec.","Policy claims remain separated from packet codec readiness; grouped telecom/WiMAX/domain semantics stay owned by later feature IDs and are not silently certified.","No migration required because codec state is derived from immutable registry/profile/dictionary metadata; raw pass-through persistence is deferred to NAS-0006.","Added /api/v1/system/vsa-codec with OpenAPI discovery, read-only RBAC, readiness status, supported formats, packet limits, source hashes, and stable response schema.","Added a Vendor Compatibility VSA Codec panel with status, grouped/OID counts, repeated-value limits, supported formats, packet limits, and source hash visibility.","Unit, packet, negative, registry, API, readiness, OpenAPI, RBAC, UI/browser, and CI target coverage added.","Added VSA codec architecture/operator guide and NAS-0005 release certification checklist.","All software behavior for Extended, grouped, tagged, and repeated VSA codec passes automated tests and exposes effective codec state; external validation is tracked separately.","Engineering readiness requires bounded decode/encode, malformed packet rejection, source-hash provenance, HA-safe immutable state, complete documentation, automated tests, and zero unresolved Critical software defects."
"NAS-0006","Bounded opaque attribute pass-through","Phase 0 - Core Architecture","Architecture","All long-tail vendors","All vendor dictionaries","RFC 2865","High","NAS-0002;NAS-0005","L","Complete","No software implementation remains; FreeRADIUS proxy transport, vendor hardware, HA, performance, soak, security, and customer evidence are tracked in the NAS-0006 release certification checklist.","Implemented a schema-versioned bounded opaque pass-through policy service with conservative defaults, config validation, API discovery, readiness reporting, and CI coverage.","Added packet collection and replay for explicitly allowed standard attributes and unknown VSAs using the shared VSA codec; malformed vendor payloads, oversized values, disabled policy, and missing allow rules are rejected with deterministic evidence.","Default action is always drop; explicit rules own standard, vendor, or vendor-attribute pass-through; sensitive credential, EAP, tunnel-secret, and integrity attributes are denied; known native mappings require allow_known.","No migration required because pass-through policy is configuration-derived and raw opaque payloads are not persisted; release evidence is represented by SHA-256 digests and external certification artifacts.","Added /api/v1/system/opaque-passthrough with OpenAPI discovery, read-only RBAC, policy limits, sensitive denylist, registry provenance, and stable readiness status.","Added a Vendor Compatibility Opaque Pass-through panel with effective default action, allow rules, byte budgets, denylist, and source hash visibility.","Unit, config validation, packet, negative, API, readiness, OpenAPI, RBAC, UI/browser, and CI target coverage added.","Added opaque pass-through architecture/operator guide and NAS-0006 release certification checklist; operations, API, external AAA, and example config docs updated.","All software behavior for Bounded opaque attribute pass-through passes automated tests and exposes effective state and evidence; external validation is tracked separately.","Engineering readiness requires default-drop governance, explicit allowlists, bounded packet collection/replay, sensitive attribute denylist, source-hash provenance, HA-safe immutable state, complete documentation, automated tests, and zero unresolved Critical software defects."
"NAS-0007","Enterprise secret and key provider interface","Phase 0 - Core Architecture","Security","All vendors and integrations","All secret-bearing dictionaries","RFC 6614;RFC 9813","Critical","NAS-0001","L","Complete","No software implementation remains; external security audits, hardware, HA, and production secret-manager evidence are tracked in the NAS-0007 release certification checklist.","Implemented centralized env/file secret-provider interfaces, config references, SQLite radius_clients.secret_ref migration, FreeRADIUS generation-time resolution, redacted provider inventory, readiness checks, and UI visibility.","RADIUS and LDAP generation resolve refs only at render/apply time; RadSec fixed application secrets remain certificate-bound; unsupported external providers fail closed until NAS-0112.","Policy separates backward-compatible inline upgrade mode from production reference requirements; generated config fails closed when allow_inline is false.","Added radius_clients.secret_ref while preserving legacy inline secret storage for upgrade; reports expose fingerprints, not values.","Added /api/v1/system/secret-providers, RADIUS-client ref fields, OpenAPI discovery, RBAC, and production readiness integration without secret disclosure.","Added Dashboard secret-provider posture and RADIUS client secret_ref editing.","Unit, config, migration, generator, API, readiness, UI build, and regression tests added.","Added secret provider architecture/operator guide and NAS-0007 release certification checklist; security, operations, API, example config, and roadmap docs updated.","All software behavior for Enterprise secret and key provider interface passes automated tests and exposes redacted lifecycle state; external validation is tracked separately.","Engineering readiness requires deterministic ref validation, bounded env/file resolution, no API/support-bundle value disclosure, HA-safe schema migration, complete documentation, automated tests, and zero unresolved Critical software defects."
"NAS-0008","Production PostgreSQL data plane","Phase 0 - Core Architecture","Architecture","All","N/A","No direct RFC; internal architecture and applicable product/security standards","Critical","NAS-0002","XL","Complete","No software implementation remains; external PostgreSQL server, HA, soak, backup, and customer validation evidence are tracked in the NAS-0008 release certification checklist.","Implemented backend selection, PostgreSQL pgx driver shim, redacted connection plan, dialect-aware migrations, schema v17 backend evidence, startup wiring, FreeRADIUS PostgreSQL SQL rendering, readiness checks, and support-bundle capture.","Existing RADIUS packet codecs and registry paths are unchanged; SQL compatibility translates placeholders, idempotent inserts, and common SQLite time expressions at the driver boundary.","Policy separates lite/lab SQLite from enterprise PostgreSQL requirements; production readiness degrades SQLite and blocks unsafe PostgreSQL TLS modes when required.","Added database_backend_events with backend, status, schema version, and redacted detail JSON; PostgreSQL DDL conversion preserves indexes, booleans, timestamps, and additive migration repairs.","Added /api/v1/system/database, OpenAPI discovery, RBAC, /system/status and production-readiness integration with DSN fingerprints only.","Added Dashboard-ready API evidence and support-bundle artifacts; full UI controls for database migration remain a later release-management enhancement.","Unit, config, migration, generator, API, readiness, support-bundle, and CI target tests added.","Added PostgreSQL data-plane guide and NAS-0008 release certification checklist; operations, security, API, example config, and roadmap docs updated.","All software behavior for Production PostgreSQL data plane passes automated focused tests and exposes redacted lifecycle state; external validation is tracked separately.","Engineering readiness requires deterministic backend validation, no DSN disclosure, dialect-safe migrations, PostgreSQL startup path support, FreeRADIUS SQL generation, complete documentation, automated tests, and zero unresolved Critical software defects."
"NAS-0009","RADIUS packet-server hardening","Phase 1 - AAA Core","AAA Core","All","Standard RADIUS; FreeRADIUS","RFC 2865;RFC 5997","Critical","NAS-0002;NAS-0007","L","Complete","Software implementation complete; external FreeRADIUS, HA, soak, packet-capture, and vendor hardware validation is tracked in nas-0009-release-certification-checklist.md.","Implemented shared packet hardening, generated FreeRADIUS integrity policy, runtime status, bounded event history, readiness checks, API evidence, and CI coverage.","Implemented strict handling for Access, Accounting, Status-Server, CoA/Disconnect, malformed UDP wire packets in the shared validator, and decoded Dynamic Authorization packets in the runtime listener.","Implemented fail-closed source trust, Message-Authenticator policy, Status-Server/Status-Client policy, Proxy-State bounds, replay cache, and rate controls.","Persisted packet hardening decisions, runtime status, retention limits, and schema migration v18.","Added /api/v1/system/radius-hardening, system status embedding, OpenAPI, RBAC, and production readiness evidence.","Added dashboard packet-hardening panel with integrity mode, replay, rate, and rejection counters.","Added unit, integration, packet, config, DB, API, readiness, authorization, OpenAPI, and generator coverage; external hardware evidence is release certification.","Published radius-packet-hardening.md and nas-0009-release-certification-checklist.md.","All software behavior for RADIUS packet-server hardening passes automated tests; API/UI expose effective state and evidence; external real-device and FreeRADIUS lab proof is not a software completion blocker.","Software implementation is 100% complete and ready for external validation; production release sign-off still requires the NAS-0009 release certification checklist."
"NAS-0010","Multi-realm proxy routing table","Phase 1 - AAA Core","AAA Core","All roaming and upstream vendors","Standard RADIUS; FreeRADIUS","RFC 2865","Critical","NAS-0009","L","Complete","Software implementation complete; external FreeRADIUS, vendor hardware, HA, scale, and packet-capture validation is tracked in nas-0010-release-certification-checklist.md.","Implemented config-backed multi-realm proxy route model, route validation, generated FreeRADIUS proxy routing, API/status/readiness evidence, and dashboard visibility.","Implemented generated FreeRADIUS home_server, home_server_pool, realm, DEFAULT, NULL, suffix-aware default fallback, and route-scoped upstream status policy for Access and Accounting proxy paths.","Implemented explicit realm alias routing, default-route behavior, duplicate realm rejection, unknown-server rejection, pool/status inheritance, and fail-fast validation.","No new database schema for NAS-0010; route table is deterministic config state and external route evidence is captured through API/readiness artifacts.","Added /api/v1/system/proxy-routes, system status embedding, OpenAPI, RBAC, and production readiness evidence.","Added dashboard proxy route table summary with route counts, default realm, server bindings, and warnings.","Added config validation, effective route report, generator, API, readiness, authorization, and OpenAPI tests; external hardware evidence is release certification.","Published radius-proxy-routing.md and nas-0010-release-certification-checklist.md; updated admin API and example config.","All software behavior for Multi-realm proxy routing table passes automated tests; API/UI expose effective state and evidence; external real-device and FreeRADIUS lab proof is not a software completion blocker.","Software implementation is 100% complete and ready for external validation; production release sign-off still requires the NAS-0010 release certification checklist."
